Story ID,Issue,Month,Section,Questions,Story Headline (If published),Story Description or Prompt,Story state,Pitch Date,Expressed Interest,Confirmed Writer(s),Editor,Second Editor,Story Doc,Media,Story Notes,Build Notes
NYC-SP-STR-52,SPS: December 2025,12-2025,Neighborhood Spotlight,Who's behind the holiday display that's lit up 50th Street for 25 years?,A Christmas Wonderland on 50th Street,"Edy R. wrote about the holiday display at 469 50th Street that she had admired for more than 20 years, and about meeting Hector and Noraima, the couple behind it, who have lived in Sunset Park for 31 years and decorated for 25 consecutive ones. The piece covered the three weeks of solo work Hector puts in each year starting before Thanksgiving, the family member who appears as Santa when his schedule allows, and the single instance of vandalism in all that time.",Answered,,,Edy Radovic,Eliana Miller,Unassigned,,,,
NYC-SP-STR-53,SPS: December 2025,12-2025,Neighborhood Spotlight,How do the holiday lights come back to 5th Avenue every year?,Sunset Park's Holiday Lights and Tree Lighting Return to 5th Avenue,"Cinthya O. covered the return of the holiday lights between 38th and 64th Streets, a tradition begun by the Fifth Avenue Merchants Association and carried by the Sunset Park BID for more than 30 years, with the 64th Street festoon missing that year because of bridge construction. She reported the more than $40,000 cost and DOT permitting from BID executive director David Estrada, and previewed the 23rd annual tree lighting on December 5 at 5th Avenue and 60th Street, with 500 goodie bags, a Santa trolley, and support from OLPH, the Clarimar Group, Anthem Blue Cross/Blue Shield, and the NYPD.",Answered,,,Cinthya Orrala,Eliana Miller,Unassigned,,,,
NYC-SP-STR-54,SPS: December 2025,12-2025,Business Spotlight,Need a last-minute gift? Which Sunset Park shops have you covered?,Last-Minute Gifts? Sunset Park has you covered,"Ciel J. P. built a last-minute gift guide out of six neighborhood small businesses, noting there are more than 600 businesses on 5th Avenue alone. The list covered Mr. C's Cycles, Blossom Flower Shop, Hong Fu Baby, Zapateria Mexico, Daysun Restaurant Supplies, and ValuPlus Thrift Shop with addresses and what to buy at each, and asked readers to send in shops for future guides.",Answered,,,Ciel Jiménez Petrinovic,Eliana Miller,Unassigned,,,,
NYC-SP-STR-55,SPS: December 2025,12-2025,Food,What goes into Sunset Park's award-winning coquito?,Sunset Park's Award-winning Coquito,"Carmen R. explained coquito, the coconut drink at the center of Puerto Rican Christmas, and profiled longtime Sunset Park resident Cynthia Gonzalez, who built her own recipe by tasting as she went and won the Brooklyn Coquito Masters contest with it in 2016. The page ran Gonzalez's full ingredient list, equipment, and six steps, and noted the December 6 Brooklyn qualifying competition at Uprose.",Answered,,,Carmen Rivera,Eliana Miller,Unassigned,,,,
NYC-SP-STR-56,SPS: December 2025,12-2025,Food,Where can you snack for under $10 in Sunset Park?,Snacking on a Budget: Sunset Park Snacks We Found for Under $10,"The Sunset Park Sun team assembled a guide to neighborhood snacks under $10, leading with four picks — La Isla's $3 alcapurrias, El Guayaquileño's $6 morocho, L'wren Bar's $8 happy hour plates, and Key Food's store-made pico de gallo — with background on the Puerto Rican and Ecuadorian dishes behind two of them. A second page listed a dozen more spots by avenue, from Huahui Bakery to Ba Xuyên and Kai Feng Fu Dumpling, alongside a custom Google map, and asked readers what was missing.",Answered,,,The Sunset Park Sun team,Eliana Miller,Unassigned,,,,
NYC-SP-STR-57,SPS: December 2025,12-2025,Nature,What is the soft-voiced swan gliding through Brooklyn's parks and cemeteries?,Sunset Park Sun Bird of the Month: The Mute Swan,"Charlie DeWitt's Bird of the Month featured the mute swan, which despite its name calls softly to other swans and to its cygnets, and which spread from Europe into ponds and lakes across all five boroughs. The piece covered the birds' lifelong pairings and big black paddle-shaped feet, and pointed readers to the Brooklyn Bird Club's Saturday morning walks at the Prospect Park Boathouse and to Green-Wood Cemetery and Bush Terminal Piers Park as places to look.",Answered,,,Charlie Dewitt,Eliana Miller,Unassigned,,,,
NYC-SP-STR-58,SPS: December 2025,12-2025,Community Resources,Where can you find free food in Sunset Park this holiday season?,Sunset Park Food Pantries and Hot Meals Guide,"The Sun ran a directory of food pantries, hot meal programs, and mobile markets serving Sunset Park, compiled for the holiday season by the office of Council Member Alexa Avilés. Nine sites were listed with addresses, hours, contacts, and registration notes, among them Mixteca's Mercadito Solidario, St. Michael's, Center for Family Life, the Salvation Army, City Harvest's mobile market, and the Chinese-American Planning Council.",Answered,,,Office of Council Member Alexa Avilés,Eliana Miller,Unassigned,,,,
NYC-SP-STR-59,SPS: December 2025,12-2025,Event Spotlight,What happens when PS01 students write their own show from scratch?,BOOM! PS01 Students Debut their new show,"Alyssa Haddad-Chin of Target Margin Theater described the annual fall collaboration between TMT, Center for Family Life, and PS01, in which third through sixth graders write their own script, build their own props, and invent their own characters alongside teaching artists. This year's show, Boom!, followed a meteorite falling from the sky and the lost aliens, hungry zombies, and rogue princesses it brought with it, with a free public performance for the neighborhood on December 13 at 1 p.m.",Answered,,,Alyssa Haddad-Chin,Eliana Miller,Unassigned,,,,
NYC-SP-STR-60,SPS: December 2025,12-2025,Fun,Can you find all fourteen snack spots from the Sun's snack guide?,Sunset Park Snacks Scavenger Hunt,"The back page turned the issue's snack guide into a scavenger hunt, with a checklist of the fourteen spots covered and blank space for readers to add twenty budget finds of their own. Readers were asked to photograph the completed page and email it in along with the snack they most wanted to try, which the team promised to bring to the next public session.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-61,SPS: January 2026,01-2026,Welcome Note,"How does the Sunset Park Sun actually get made, and what should it do next?","How the Sunset Park Sun Gets Made, and what it should do next","Terry Parris Jr. opened the January issue by walking through how the bulletin actually gets made, from ideas turning into conversations at the library to drafts, review, fact-checking, copy lock, and boxes dropped around the neighborhood. He named the project's move out of its pilot phase and asked readers what the Sun should turn toward next: which questions linger, what information is hard to find, and what stories feel unfinished.",Answered,,,Terry Parris Jr.,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-62,SPS: January 2026,01-2026,Neighborhood Spotlight,"What makes Three Kings Day and Rosca de Reyes special, and where do you find the bread in Sunset Park?",Rosca de Reyes and the Magic of Three Kings Day (English & Spanish),"SimVio explained the Three Kings Day traditions behind Rosca de Reyes, from the letters children write on the night of January 5 to the figurine baked inside the bread, which obligates whoever finds it to bring tamales on Día de la Candelaria. The piece listed five Sunset Park bakeries selling rosca — La Flor de Izucar, Mi México Pequeño, La Espiga Real, Ines Bakery, and Don Paco Lopez Panadería — and ran in both Spanish and English.",Answered,,,SimVio,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-63,SPS: January 2026,01-2026,Neighborhood Spotlight,What do public domain archives reveal about Bush Terminal's past?,"Digging Into Bush Terminal’s Past, One Public Domain Find at a Time","Mattie A. wrote about searching the public domain for images of Bush Terminal, prompted by the new MADE Bush Terminal hub and a sense that the complex's ghosts were being cleared out before anyone documented them. She explained what Public Domain Day means and surfaced early 1900s photographs from the Center for Brooklyn History and the Library of Congress, alongside a Brooklyn Daily Eagle article printed exactly 100 years earlier describing the terminal's private railroad and 20 square blocks of waterfront.",Answered,,,Mattie Akers,Terry Parris Jr.,Unassigned,https://docs.google.com/document/d/1xJy4oLK6UFSBgBipF-6n5_MAPd-nUotgnsnqsKkRkv8/edit?tab=t.0,,,
NYC-SP-STR-64,SPS: January 2026,01-2026,Business Spotlight,What’s Behind the Menu at…Zona Sur Bar Bistro?,What’s Behind the Menu at…Zona Sur Bar Bistro?,"Carmen R. and Maureen C. profiled Zona Sur Bar Bistro at 4314 4th Avenue, tracing Jose Luis Hernandez's path from arriving in Sunset Park from Puebla at 15 to executive chef in Manhattan restaurants, and his 2010 meeting with Maria Medina. The story covered the 2012 opening as Café Zona Sur, the 2016 liquor license and rename, the pandemic pivot to pickup and patio events, and the American, Italian, Mexican, and French menu Luis still writes himself.",Answered,,,"Carmen Rivera, Maureen Cullen",Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-65,SPS: January 2026,01-2026,Neighborhood News,How do you get graffiti reported and removed in Sunset Park?,Reporting and Removing Graffiti in Sunset Park,"The Sunset Park Sun team laid out the two routes for getting graffiti removed: 311 or online reporting through Graffiti Free NYC, the citywide Department of Sanitation program, and the more informal cleanup requests handled by the Sunset Park 5th Avenue BID. BID executive director David Estrada described covering 10 to 15 areas a month, periodic blitzes of light poles and mailboxes, and anti-graffiti coating for community murals, and said graffiti was down significantly from pandemic levels.",Answered,,,,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-66,SPS: January 2026,01-2026,Community Resources,What heat and hot water are tenants owed in winter?,What Tenants Should Know About Heat and Winter Safety,"Michal N. set out what tenants are owed in winter: hot water at 120°F year-round, and heat between October 1 and May 31 at 68°F during the day and 55°F at night when it is cold enough outside. She pointed readers to HEAP, HERR, and the Emergency HEAP Benefit for help with bills, and covered where to go when heat fails, how to check on neighbors, and how to avoid fires and carbon monoxide poisoning.",Answered,,,Michal Novemsky,Terry Parris Jr.,Unassigned,https://docs.google.com/document/d/1mghSmzrNBosLguLvi7PWQyp142fu4N308pmg6v9uIrI/edit?tab=t.0,,,
NYC-SP-STR-67,SPS: January 2026,01-2026,Community Resources,Where can you donate blood in and around Sunset Park?,January Is Blood Donor Month,"Cinthya O. marked National Blood Donor Month and the winter shortages that make January donations critical, noting one donation can help up to three patients and that need runs highest for O- and B- types. She listed where to give, including the New York Blood Center's Brooklyn Donor Center at 30 Flatbush Avenue and the Maimonides Blood Donor Center in Borough Park, and noted NYBC also runs drives at businesses and places of worship near Sunset Park.",Answered,,,Cinthya Orrala,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-68,SPS: January 2026,01-2026,Nature,What are those diving birds at Bush Terminal Park?,Sunset Park Sun Bird of the Month: Double-Crested Cormorants,"Charlie DeWitt's Bird of the Month featured the double-crested cormorant, a diving bird that hunts fish in ponds, lagoons, and the city's bays and rivers and nests in colonies in trees near the water. He described watching them disappear underwater at Bush Terminal Park and resurface several feet away, and noted that although they are not endangered they are protected under the Migratory Bird Treaty Act.",Answered,,,Charlie Dewitt,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-69,SPS: January 2026,01-2026,Fun,What are your hopes and goals for 2026?,2026 Vision Board,"The back page ran a 2026 Vision Board, a board-game-style path through personal life, finance, health, career, self reflection, and personal goals for readers to fill in at the start of the year. Graphics were by Susan Parker, and readers were invited to email in what they were thinking about as the year began.",Answered,,,Susan Parker,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-70,SPS: February 2026,02-2026,Welcome Note,How are neighbors looking out for each other as immigration enforcement changes daily life?,Paying Attention With and For Our Neighbors.,"Terry Parris Jr. opened the February issue on what immigration enforcement was doing to ordinary routines in Sunset Park, where neighbors were changing how they moved through the neighborhood, avoiding attention, and staying home unless they had no other choice. He framed the Sun as a way to share information, reduce isolation, and make room for neighbors to speak in their own words, and pointed readers to the issue's practical guidance on ICE encounters and local legal support.",Answered,,,Terry Parris Jr.,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-71,SPS: February 2026,02-2026,Community Resources,What should you know if you encounter ICE in Sunset Park?,What To Know about Encountering ICE,"Becca laid out what Sunset Park residents should know about encountering ICE, covering how agents may or may not be identifiable, the right to remain silent, the judicial warrant requirement for entry into a home, and the value of noting time, location, and agency if someone is detained. She pointed readers to the Legal Support Center at the Center for Family Life at 443 39th Street and NYC's Immigration Legal Support Hotline, and explained the neighborhood whistle system — three short blasts to signal ICE nearby, three long blasts to signal a possible detention.",Answered,,,Becca Elzinga,Terry Parris Jr.,Unassigned,Winter Sunset Park Sun Story,,,
NYC-SP-STR-72,SPS: February 2026,02-2026,Community Resources,How does rescued food get from City Harvest's warehouse to Sunset Park tables?,From Warehouse to Table: How City Harvest Serves Sunset Park,"Charlie D. toured City Harvest's Second Avenue warehouse, a former rail car repair shop, and interviewed Senior Communications Manager Molly Horak about how rescued food reaches Sunset Park residents. The Q&A covered the organization's 2022 move to the neighborhood, the Sunset Park Mobile Market serving more than 1,000 households on the 2nd Friday and 4th Saturday of each month, and the repack and market volunteer shifts open to neighbors.",Answered,,,Charlie Dewitt,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-73,SPS: February 2026,02-2026,Arts & Culture,How has the Regina Opera kept opera affordable in Sunset Park for 56 years?,"Opera for All: Inside Sunset Park's 56-Year Community Treasure, The Regina Opera","Angela S. profiled the Regina Opera Company, the 56-year-old company staging fully produced opera with a 35-piece orchestra at Our Lady of Perpetual Help for $25 a ticket. She spoke with president Francine ""Fran"" Garber-Cohen, music director Scott Jackson Wiley, costumer Marcia Kresge, stage manager Thomas Geib, and singers including Yeawon Jun, and covered the free open dress rehearsals, the pandemic recordings, and the closing of the OLPH parish school around the company.",Answered,,,Angela Sharp,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-74,SPS: February 2026,02-2026,Arts & Culture,What does the Year of the Fire Horse hold for Sunset Park?,Welcome 2026! The Year of the Fire Horse,"Rozette wrote about growing up Filipino and Chinese with a three-month run of holidays ending in Lunar New Year, and about her grandmother's answer to a teasing question about her mixed altar — that her soul was secured wherever she ended up. The piece introduced the February 17 start of the Year of the Fire Horse, listed the traits of all twelve zodiac signs, and ran a live reading Rozette did for her neighbor Adriana, who had believed her whole life she was a Dragon; SimVio illustrated a horse for readers to color.",Answered,,,Rozette De Castro,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-75,SPS: February 2026,02-2026,Business Spotlight,"How did a food cart in La Troncal, Ecuador become Sunset Park's La Carreta?","From La Troncal to Sunset Park, La Carreta Serves Ecuadorian Tradition","Cinthya O. profiled La Carreta, the Ecuadorian restaurant the Ortega family opened in Sunset Park in 1998, and traced its name to the cart Benito Ortega and his siblings pedaled through La Troncal, Ecuador, selling their mother Ines Peralta's cooking. Andrea Ortega described the family's division of labor in the kitchen and dining room, the effect of tariffs on ingredient prices, the 2024 opening of the La Carreta Sport Bar on 4th Avenue, and the renovation of the original 51st Street restaurant.",Answered,,,Cinthya Orrala,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-76,SPS: February 2026,02-2026,Neighborhood News,Why did God's Love We Deliver open a new distribution center in Brooklyn?,"Food, Dignity, and Care: God's Love We Deliver Expands in Brooklyn","Adriana covered the January 8 ribbon cutting for God's Love We Deliver's new Brooklyn distribution center at 850 Third Avenue, part of the 40 FORWARD campaign marking the organization's 40th anniversary and its 40 millionth meal. Major gifts officer Eric Ragone toured the roughly 7,000 square feet of freezer space and explained why a Brooklyn site matters when 77 percent of clients live in the borough, and actor and activist Rosie Perez spoke about growing up with food insecurity.",Answered,,,Adriana Alba,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-77,SPS: February 2026,02-2026,Fun,"What is a food pantry, and what does one do?",Food Pantry Comic,"Charlie D.'s back-page comic turned his City Harvest reporting into a classroom scene, with two students asking their teacher Mr. Diego what a food pantry is and what one does. The strip explained that pantries give food to people who need it and take donations from people who do not, and pointed readers back to the full story on page 5.",Answered,,,Charlie Dewitt,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-78,SPS: March 2026,03-2026,Welcome Note,Where do Sunset Park's stories get told?,Everything Has a Story,"Terry Parris Jr. opened the March issue by arguing that its apparently unconnected stories — a letter about grief, a guide to Community Board 7, a neighborhood bar, a green parakeet, and free tax help — were all about storytelling. He wrote that stories get told in public meetings, through music and debate nights at a bar, in letters to people we've lost, and even in tax forms, and asked readers to send in whatever they had been wondering about.",Answered,,,Terry Parris Jr.,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-79,SPS: March 2026,03-2026,Neighborhood News,"What does Community Board 7 do, and how do you get involved?",Everything You Need to Know About Community Board 7,"Rebecca M. explained what community boards do and interviewed Julio Peña III, a CB7 member since 2016 and its chair since 2022, about how the board works and how residents can get involved. The piece covered CB7's ten committees, the roughly five hours a month a committee seat requires, the application process running through the Brooklyn Borough President's office, and the board's role in the Sunset Park Library redevelopment that added 49 affordable housing units.",Answered,,,Rebecca McCray,Terry Parris Jr.,Unassigned,CB7,,,
NYC-SP-STR-80,SPS: March 2026,03-2026,Business Spotlight,What's behind the bar at Sunset Stoop?,What's Behind the Bar at...Sunset Stoop,"Carmen R. and Maureen C. profiled Sunset Stoop, the bar and performance space at 4114 5th Avenue that Roberto ""Rob"" Beltre opened in June 2024 in the storefront his mother's immigration and tax service once occupied. The story covered Rob's frustration at having to leave the neighborhood to hear live music, the programming that followed — cumbia, Juan Gabriel tributes, bomba, karaoke, drag, trivia, and film screenings — the free whistles and ICE information cards kept at the bar, and the policy that all performance money goes directly to the artists.",Answered,,,"Carmen Rivera, Maureen Cullen",Rebecca McCray,Unassigned,,,,
NYC-SP-STR-81,SPS: March 2026,03-2026,Nature,Why are bright green parakeets nesting at Green-Wood Cemetery?,Bird of the Month: Monk Parakeet,"Charlie DeWitt's Bird of the Month featured the monk parakeet, the bright green South American bird whose flock nests in a giant communal nest atop the historic arch at the 25th Street entrance to Green-Wood Cemetery. He passed along the rumor that escaped pet parakeets started the colony, described the birds' 12-inch bodies, 18-inch wingspans, lifelong pairings, and separate nesting chambers, and asked readers interested in an upcoming Bird of the Month event at the library to write in.",Answered,,,Charlie Dewitt,Terry Parris Jr.,Unassigned,Bird of The Month for March!,,,
NYC-SP-STR-82,SPS: March 2026,03-2026,Community Resources,Where can you get free help filing your taxes in Sunset Park?,Do You Need Help Filing Your Taxes? Here's Where to Go,"Cinthya O. laid out where Sunset Park residents could get free tax preparation before the April 15, 2026 deadline, starting with the NYC Free Tax Prep income limits — $97,000 with qualifying dependents, $68,000 without — and the four ways to file, from sitting with a volunteer preparer to assisted self-prep. The guide ran a what-to-bring checklist and listed local sites including Council Member Alexa Avilés' office, Center for Family Life and its NYU Langone location, plus AARP Foundation sessions for adults 50+ at the Greenpoint, Central, and Bedford libraries.",Answered,,,Cinthya Orrala,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-83,SPS: March 2026,03-2026,Neighborhood Spotlight,How can writing letters help us grieve the ones we love?,Help Us Write Letters to the Ones We Love.,"Rozette De Castro wrote about arriving in Sunset Park three years ago while grieving her sister Tet, and about how the neighborhood — neighbors knocking with pozole, aunties at the bakeries, strangers delivering radical honesty with humor — helped her come to terms with that loss. She described the Grief Scavenger Hunt she designed and led at Green-Wood Cemetery, where 25 participants wrote letters at the Valley Water Pond to whatever they were grieving, and invited readers to send in their own letters and reflections for an exhibit planned later in the year.",Answered,,,Rozette De Castro,Terry Parris Jr.,Unassigned,Headline: Help Us Write Letters to Loved Ones Lost,,,
NYC-SP-STR-84,SPS: March 2026,03-2026,Event Spotlight,"What's on stage at Target Margin Theater, and how do neighbors get the discount?",A New Play at Target Margin Theater with a Special Sunset Park Discount,"Alyssa Haddad-Chin, Target Margin Theater's company and community manager, previewed This is Real, the company's new play at 232 52nd Street inspired by the writer Jean Genet and his attention to power, authority, and the punishment of the marginalized. She offered Sunset Park readers an exclusive discount code, WETHEPEOPLE, for $10 off the theater's lowest ticket price.",Answered,,,Alyssa Haddad-Chin,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-85,SPS: March 2026,03-2026,Fun,Crossword: Do you know the Sunset Park Sun?,Crossword: Do you know the Sunset Park Sun?,"The back page ran a crossword built entirely out of the March issue, with every answer hidden somewhere in its pages — Sunset Stoop's owner, the monk parakeet, the CB7 chair, and the letters written at the Valley Water Pond among them. Readers were asked to email a photo of the completed puzzle, with the answers promised in the next issue.",Answered,,,Danny Laplaza,Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-87,Unpublished,,Nature,"Who plants Sunset Park's trees, and which blocks get shade?",N/A,"There's a day set aside for planting trees, and Sunset Park has a complicated relationship with its own tree canopy. Who plants trees here, who waters them, and which blocks have shade and which don't? Arbor Day is the hook; the story is about who gets green.",Unclaimed,,,,Unassigned,Unassigned,,,,
NYC-SP-STR-89,SPS: April 2026,04-2026,Neighborhood News,How did a 19th-century greenhouse become Green-Wood's new front door?,A 19th-Century Greenhouse Becomes Green-Wood's New Front Door,"Ciel J. P. reported on the Green-House at Green-Wood, the restored 1895 Weir Greenhouse that reopened as the cemetery's welcome center after Green-Wood purchased it in 2012 and spent 14 years on the renovation. She traced the site back to the Weir family florist business that had operated there since 1880, described the building's new role as part museum, classroom, and research hub, and previewed the free grand opening programming on April 18 and 19.",Answered,,,Ciel Jiménez Petrinovic,Terry Parris Jr.,Alfred Ng,April 2026 - Green-Wood Green-House,,"3/17/26 — Danny followed up 3/9/26 — Ciel claimed via email thread. Terry confirmed. April issue. 3/17/26 — Ciel replied: actively writing, researched greenhouse history, shared draft doc. Has editorial question about quoting old Green-Wood blog comments. Terry advised: pick one comment max, link to full post via QR code rather than seeking permission.",
NYC-SP-STR-90,SPS: April 2026,04-2026,Neighborhood Spotlight,"Who planted the native garden at Bush Terminal Park, and what grows there?","People, Plants & Pollinators at Bush Terminal Park","Mattie Akers told the story of the 1,400-square-foot native plant garden at Bush Terminal Park in a hand-drawn and painted spread, following Robin and Rachel, the two Wild Ones members who have co-led the project since 2024 on a triangular patch of former industrial land. The piece covered the site's contaminated past, the three dozen native species now growing there including milkweed, beach plum, and swamp rose mallow, and the PS 516K families and volunteers who weed, plant, and water it.",Answered,,,Mattie Akers,Terry Parris Jr.,Danny Laplaza,Bush Terminal garden article text and reference images,,"3/12/26 — Terry reviewed and left minor comments. Called the layout adjustment great, nothing substantial to change. 3/12/26 — Mattie incorporated Terry's comments and transcribed revised text into right-hand column of the Google Doc (layout version differed from Doc due to space constraints). Asked Terry for one more pass before sending to organizers Rachel and Robin. Attached a Daily News article about pollution at the site. 3/12/26 — Terry said he'd look after a meeting but didn't get to it. 3/14/26 — Mattie decided not to wait. Sent draft to Rachel and Robin without second Terry review, reasoning changes were minimal. Also flagged a workflow concern: doesn't know when team reviews, felt in limbo, asked whether nudging is the right move. Noted the article must run in April because the garden event is mid-April. 3/14/26 — Terry confirmed she was right to send it. Apologized for delay, said nudges are helpful. Said he'd follow up more specifically on her workflow question once back from travel.",
NYC-SP-STR-91,SPS: April 2026,04-2026,Community Resources,Where can Sunset Park kids play soccer for free?,"Soccer for Kids, Just for a Smile","SimVio wrote about coming across a free youth soccer practice on the Sunset Park field in 2019, where Coach Dani told her that all her kindergartner needed to join was a smile. The piece explained how Street Soccer USA runs its year-round free programs as an alternative to pay-to-play youth soccer, covering the local practice sites, the Times Square Cup Series, the Halloween parade down 5th Avenue, and how families can sign up.",Answered,,,SimVio,Rebecca McCray,Terry Parris Jr.,Soccer for kids for just a smile,,3/24/26 — Violeta shared photos. Danny to remind Violeta tomorrow that Rebecca had asked for a few edits. Story was originally submitted in February.,
NYC-SP-STR-92,Unpublished,,Neighborhood Spotlight,What happened to all the housing west of Third Ave?,N/A,"West of Third Avenue, the housing thins out and the industry takes over. It wasn't always that way. What was there, who lived in it, and what took it away — the expressway, rezoning, something else? This one lives in old maps, old photos, and people who remember.",On hold,,,John DeLooper,Terry Parris Jr.,Unassigned,https://cuny907-my.sharepoint.com/:p:/g/personal/john_delooper08_login_cuny_edu/IQDJjjQhz9bgQKRJGl2cM6ecAbN61EPgoSuGipJWLa1EAHY?rtime=Trb-4Dhz3kg,,Draft is 3-ave-housing-draft.docx. Very long.,
NYC-SP-STR-93,SPS: April 2026,04-2026,Business Spotlight,What's behind the menu at Ślimak Café?,What's Behind the Menu At… Slimak Café,"Maureen C. and Carmen R. profiled Slimak Café at 4110 4th Avenue, tracing co-owner Andrea Balascak's path from Bardejov, Slovakia — where her family owned a flour mill and her grandfather was a baker — to running NewsBar in Greenwich Village with her husband Jan and opening in Sunset Park in 2017. The story covered the seasonal global menu, the take-a-book library and locally handcrafted goods at the counter, the waste-reduction discounts, and the role of Jana Humenaska, Andrea's high school classmate and right hand since 2004.",Answered,,,"Carmen Rivera, Maureen Cullen",Alfred Ng,Terry Parris Jr.,Slimak Cafe 3,,"3/24/26 — Maureen sent answers to Alfred's editorial questions: confirmed owner Andrea is from Bardejov, Slovakia; rewrote the childhood/cooking backstory paragraph; added timeline details (NewsBar manager/partner 2000, sole owner 2018; approached Brooklyn property owner late 2016; Slimak opened June 1, 2017; Jana Humenaska joined in 2004). Ball is back with Alfred for a revised edit. 3/4/2026 — Maureen sent paragraph 9 rewrite re: sourcing/sustainability. Danny acknowledged 3/10. 3/3/2026 — Maureen and Carmen submitted draft + photos (12 images).",
NYC-SP-STR-94,SPS: April 2026,04-2026,Community Resources,What can Sunset Park learn from Finland about sustainability?,From Finland to Sunset Park: What I'm Learning About Sustainability,"Susan P. connected the Finnish approaches to sustainability and circular textiles she encountered while living in Helsinki in 2017 to the work happening in Sunset Park, a neighborhood once known as Finntown. She wrote about attending the DSNY Foundation's Community Stewards session at Windscape in Industry City and going through NYC Trash Academy, where she learned that one of the largest recycling facilities in North America sits in the neighborhood.",Answered,,,Susan Parker,Terry Parris Jr.,,Aitini (Earth Day / DSNY Trash Academy),,"3/17/26 — Danny followed up 3/17/26 — Susan replied: working on a sustainability piece about Earth Day / NYC Trash Academy (DSNY). Graduated from the program this week. Said May piece also nearly done. 3/18/26 — Susan sent both drafts overnight via email attachments: April piece (Aitini, 3 photos) and May piece (Mai, 2 photos). Raw text files from iPhone. Assets need download and processing.",
NYC-SP-STR-95,SPS: April 2026,04-2026,Community Resources,What does Autism Awareness Month mean to a neighbor living it?,What Autism Awareness Month Means to Me,"Charlie D. marked Autism Awareness Month by writing about his own diagnosis and what he wishes more people understood — that autism is a neurodevelopmental condition someone is born with, that it shows up differently in different people, and that it is not something you catch or cure. He pointed readers to Autistic Adults NYC as a local resource and said he wants to see more awareness and support in Sunset Park.",Answered,,,Charlie Dewitt,Terry Parris Jr.,,Autisum Awareness Month Article for April,,3/17/26 — Danny followed up 3/17/26 — Charlie replied: has content but needs help typing it out. Needs a transcription session before draft can be submitted. 3/18/26 — Danny inquired what he needed help with,
NYC-SP-STR-96,Unpublished,,Neighborhood Spotlight,"Where do you start eating on 8th Avenue, and who's behind the counter?",N/A,"Eighth Avenue is one of the great eating streets in the city and most of Brooklyn doesn't know it. Walk it, eat it, write it down. Where do you start, what do you order, who's behind the counter?",Claimed,,,Joanna Li,Unassigned,Unassigned,,,3/17/26 — Danny followed up 3/13/26 — Anna Yang offered photography support via email. Terry forwarded and noted she could be a partner for Joanna.,Needs a story prompt (the community question this answers).
NYC-SP-STR-97,SPS: April 2026,04-2026,Welcome Note,Why did April's stories all turn toward the natural world?,"This Month, Something Took Shape","Terry Parris Jr. opened the April issue by noticing that the month's stories had converged on the natural environment without anyone planning it, a pattern he traced back to the questions neighbors brought into the back room of Yafa Cafe at March's editorial meeting. He set that against the coldest and snowiest winter the city had seen in more than a decade, and pointed to the issue's more personal pieces as a reminder that a neighborhood is made of people moving through it in different ways.",Answered,,,Terry Parris Jr.,Rebecca McCray,Unassigned,,,,
NYC-SP-STR-98,Unpublished,,Neighborhood Spotlight,How did Sunset Park's Chinatown come to be?,N/A,"Eighth Avenue didn't become a Chinatown by accident. Who came first, why here, and what did they build once they arrived? This one wants long-time residents, business owners, and anyone who remembers what the avenue looked like before.",Unclaimed,,Anna Yang,,Unassigned,Unassigned,,,,
NYC-SP-STR-99,Unpublished,,Event Spotlight,"What actually happens inside the Sims recycling facility, and can you take a tour?",N/A,"The Sims recycling facility sits on the Sunset Park waterfront and processes a huge share of the city's recycling. What actually happens inside, and can you take a tour? Go, look, and tell people what you saw.",On hold,,,Angela Sharp,Unassigned,Unassigned,,,Coming later.,Needs a story prompt (the community question this answers).
NYC-SP-STR-100,Unpublished,,Business Spotlight,Where are all the food trucks?,N/A,"Sunset Park has food trucks — but where exactly are they, when do they show up, and how do you find them if you don't already know? This one could be a simple guide, a map, a conversation with the vendors themselves. What do they sell? Where do they park? Who are the regulars? There's a story here for anyone willing to follow the smell.",Unclaimed,,,,Unassigned,Unassigned,,,,
